scenario,family,true,pred,count
one-model-out,extratrees,zoo,fgm,0
one-model-out,extratrees,zoo,hsj,9
one-model-out,extratrees,zoo,org,6
one-model-out,extratrees,zoo,pgd,0
one-model-out,extratrees,zoo,zoo,39
one-model-out,mlp,bim,bim,0
one-model-out,mlp,bim,fgm,0
one-model-out,mlp,bim,hsj,0
one-model-out,mlp,bim,org,18
one-model-out,mlp,bim,pgd,0
one-model-out,mlp,bim,zoo,0
one-model-out,mlp,fgm,bim,0
one-model-out,mlp,fgm,fgm,0
one-model-out,mlp,fgm,hsj,0
one-model-out,mlp,fgm,org,18
one-model-out,mlp,fgm,pgd,0
one-model-out,mlp,fgm,zoo,0
one-model-out,mlp,hsj,bim,0
one-model-out,mlp,hsj,fgm,0
one-model-out,mlp,hsj,hsj,42
one-model-out,mlp,hsj,org,6
one-model-out,mlp,hsj,pgd,0
one-model-out,mlp,hsj,zoo,6
one-model-out,mlp,org,bim,0
one-model-out,mlp,org,fgm,0
one-model-out,mlp,org,hsj,5
one-model-out,mlp,org,org,67
one-model-out,mlp,org,pgd,0
one-model-out,mlp,org,zoo,0
one-model-out,mlp,pgd,bim,0
one-model-out,mlp,pgd,fgm,0
one-model-out,mlp,pgd,hsj,0
one-model-out,mlp,pgd,org,18
one-model-out,mlp,pgd,pgd,0
one-model-out,mlp,pgd,zoo,0
one-model-out,mlp,zoo,bim,0
one-model-out,mlp,zoo,fgm,0
one-model-out,mlp,zoo,hsj,21
one-model-out,mlp,zoo,org,0
one-model-out,mlp,zoo,pgd,0
one-model-out,mlp,zoo,zoo,33
one-model-out,rf,bim,bim,0
one-model-out,rf,bim,fgm,0
one-model-out,rf,bim,hsj,0
one-model-out,rf,bim,org,18
one-model-out,rf,bim,pgd,0
one-model-out,rf,bim,zoo,0
one-model-out,rf,fgm,bim,0
one-model-out,rf,fgm,fgm,0
one-model-out,rf,fgm,hsj,0
one-model-out,rf,fgm,org,18
one-model-out,rf,fgm,pgd,0
one-model-out,rf,fgm,zoo,0
one-model-out,rf,hsj,bim,0
one-model-out,rf,hsj,fgm,0
one-model-out,rf,hsj,hsj,28
one-model-out,rf,hsj,org,0
one-model-out,rf,hsj,pgd,0
one-model-out,rf,hsj,zoo,26
one-model-out,rf,org,bim,0
one-model-out,rf,org,fgm,0
one-model-out,rf,org,hsj,0
one-model-out,rf,org,org,66
one-model-out,rf,org,pgd,0
one-model-out,rf,org,zoo,6
one-model-out,rf,pgd,bim,0
one-model-out,rf,pgd,fgm,0
one-model-out,rf,pgd,hsj,0
one-model-out,rf,pgd,org,18
one-model-out,rf,pgd,pgd,0
one-model-out,rf,pgd,zoo,0
one-model-out,rf,zoo,bim,0
one-model-out,rf,zoo,fgm,0
one-model-out,rf,zoo,hsj,13
one-model-out,rf,zoo,org,0
one-model-out,rf,zoo,pgd,0
one-model-out,rf,zoo,zoo,41
one-model-out,voting,bim,bim,0
one-model-out,voting,bim,fgm,0
one-model-out,voting,bim,hsj,0
one-model-out,voting,bim,org,18
one-model-out,voting,bim,pgd,0
one-model-out,voting,bim,zoo,0
one-model-out,voting,fgm,bim,0
one-model-out,voting,fgm,fgm,0
one-model-out,voting,fgm,hsj,0
one-model-out,voting,fgm,org,18
one-model-out,voting,fgm,pgd,0
one-model-out,voting,fgm,zoo,0
one-model-out,voting,hsj,bim,0
one-model-out,voting,hsj,fgm,0
one-model-out,voting,hsj,hsj,35
one-model-out,voting,hsj,org,6
one-model-out,voting,hsj,pgd,0
one-model-out,voting,hsj,zoo,13
one-model-out,voting,org,bim,0
one-model-out,voting,org,fgm,0
one-model-out,voting,org,hsj,0
one-model-out,voting,org,org,72
one-model-out,voting,org,pgd,0
one-model-out,voting,org,zoo,0
one-model-out,voting,pgd,bim,0
one-model-out,voting,pgd,fgm,0
one-model-out,voting,pgd,hsj,0
one-model-out,voting,pgd,org,18
one-model-out,voting,pgd,pgd,0
one-model-out,voting,pgd,zoo,0
one-model-out,voting,zoo,bim,0
one-model-out,voting,zoo,fgm,0
one-model-out,voting,zoo,hsj,4
one-model-out,voting,zoo,org,6
one-model-out,voting,zoo,pgd,0
one-model-out,voting,zoo,zoo,44
one-model-out,xgb,bim,bim,0
one-model-out,xgb,bim,fgm,0
one-model-out,xgb,bim,hsj,0
one-model-out,xgb,bim,org,18
one-model-out,xgb,bim,pgd,0
one-model-out,xgb,bim,zoo,0
one-model-out,xgb,fgm,bim,0
one-model-out,xgb,fgm,fgm,0
one-model-out,xgb,fgm,hsj,0
one-model-out,xgb,fgm,org,18
one-model-out,xgb,fgm,pgd,0
one-model-out,xgb,fgm,zoo,0
one-model-out,xgb,hsj,bim,0
one-model-out,xgb,hsj,fgm,0
one-model-out,xgb,hsj,hsj,32
one-model-out,xgb,hsj,org,6
one-model-out,xgb,hsj,pgd,0
one-model-out,xgb,hsj,zoo,16
one-model-out,xgb,org,bim,0
one-model-out,xgb,org,fgm,0
one-model-out,xgb,org,hsj,0
one-model-out,xgb,org,org,72
one-model-out,xgb,org,pgd,0
one-model-out,xgb,org,zoo,0
one-model-out,xgb,pgd,bim,0
one-model-out,xgb,pgd,fgm,0
one-model-out,xgb,pgd,hsj,0
one-model-out,xgb,pgd,org,18
one-model-out,xgb,pgd,pgd,0
one-model-out,xgb,pgd,zoo,0
one-model-out,xgb,zoo,bim,0
one-model-out,xgb,zoo,fgm,0
one-model-out,xgb,zoo,hsj,4
one-model-out,xgb,zoo,org,8
one-model-out,xgb,zoo,pgd,0
one-model-out,xgb,zoo,zoo,42
